time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ref_px,ref_py,ref_pz,ref_vx,ref_vy,ref_vz,cmd_vx,cmd_vy,cmd_vz,cmd_px,cmd_py,cmd_pz,err_pos,err_vel,integral_x,integral_y,integral_z,control_mode
7.8578941822052,5.089483743338953,2.0042849438228076,3.12621244393195,0.20908607564296117,-0.24443261258017893,-1.342617022713878,4.90421941971955,1.979627741396316,2.801696911748599,-0.06069074772648394,-0.022386564105283294,-1.260949250986112,-1.0049655411736598,0.1574104093300538,-1.9660426753552003,0.0,0.0,0.0,0.37448788747554873,0.35882252857032676,0.0,0.0,0.0,velocity
7.907405376434326,5.102218643392746,1.9939554484863924,3.062029220932875,0.1558133531203484,-0.19952209872863508,-1.3593184911092564,4.899994177257205,1.978598836761129,2.739200583545353,-0.10834353644339098,-0.01868032303717922,-1.2382481319445902,-0.7813348341182176,-0.08344731888174334,-0.9047351130624829,0.0,0.0,0.0,0.38124649420679185,0.34225815111913654,0.0,0.0,0.0,velocity
7.957056522369385,5.114340573406556,1.984630835264402,2.995533909798426,0.12621392981630428,-0.1364250832615434,-1.4124127537814584,4.893383309303053,1.9777683159172534,2.677936354637292,-0.15610159634528484,-0.014457956362615007,-1.2116921675986967,-1.1220904612227978,-0.36673254605392025,-0.3100659196595945,0.0,0.0,0.0,0.3869591887734736,0.3672421409280608,0.0,0.0,0.0,velocity
8.006914138793945,5.123562473302885,1.9772105119214562,2.928656806118166,0.05312161554644259,-0.07198785152268913,-1.408890079415812,4.8843837112436885,1.9771609031232988,2.6180928058675783,-0.20387791068927336,-0.009764146087914186,-1.1814503539799748,-0.7018260908612735,-0.4822538633925605,-0.7522048183898019,0.0,0.0,0.0,0.3919904092357994,0.34878270414363305,0.0,0.0,0.0,velocity
8.057156324386597,5.130402176845681,1.9721509276971347,2.8641060718344478,0.017462668021158236,-0.025577744420893396,-1.3497254777884113,4.8729967263562335,1.976798880419972,2.5598496936013113,-0.25158161720601296,-0.0046518557106377915,-1.147706547755233,-1.1678771512129873,-0.36789534670272767,-1.2835642141589205,0.0,0.0,0.0,0.39856130406969353,0.3370969716913275,0.0,0.0,0.0,velocity
8.108102321624756,5.135113259953761,1.969104838742998,2.8027254654268305,-0.023050991166024548,-0.007182089030200954,-1.278867688950445,4.8592283323559995,1.976701680574983,2.5033772262838783,-0.2991182419929106,0.000817961311802274,-1.1106586700923324,-1.199397910414045,-0.10183011985517934,-1.3902825610682688,0.0,0.0,0.0,0.4071603781796905,0.32337501729385065,0.0,0.0,0.0,velocity
8.157545566558838,5.137511686000866,1.9670761166957456,2.743137660364933,-0.07003968071456053,-0.016091965161141815,-1.238974261652103,4.843089315537515,1.9768854962174467,2.4488353826854756,-0.3463899618853476,0.006576717611081924,-1.0705178353471003,-1.194543824734608,0.20963432416990355,-1.010822914363958,0.0,0.0,0.0,0.41640675643314873,0.3244393851634748,0.0,0.0,0.0,velocity
8.207204103469849,5.137901928363267,1.964899688675115,2.683641320149264,-0.11548094260473943,-0.04395342176850374,-1.2348101676555494,4.824595431085066,1.9773629083876818,2.3963732755907725,-0.39329589530589065,0.012548612474451937,-1.0275074045714003,-1.271643229690985,0.47902372025651163,-0.4984124455207134,0.0,0.0,0.0,0.4252519517965779,0.3512094295434817,0.0,0.0,0.0,velocity
8.25723385810852,5.135977390655699,1.96179095936163,2.624240218347541,-0.166898026920343,-0.0703722340715349,-1.2258203705935473,4.803767548128802,1.978142537728263,2.346128564692629,-0.4397324215915289,0.018651116928777342,-0.981861963842339,-1.2646052945245874,0.5388824916327922,-0.39322086150286006,0.0,0.0,0.0,0.43356296599859184,0.3766689105348425,0.0,0.0,0.0,velocity
8.308249950408936,5.131729240632841,1.9578852184676852,2.566179930290963,-0.21026007458418738,-0.07545773834305582,-1.191436550296455,4.780631778122557,1.9792287215422215,2.2982269224488263,-0.48559352879891843,0.024795523342127222,-0.9338262274126037,-1.4120466887860896,0.3585001467127412,-0.5366002392383298,0.0,0.0,0.0,0.4421807183904573,0.39015677098399215,0.0,0.0,0.0,velocity
8.358341455459595,5.125160000839774,1.9537617533308302,2.510884604985791,-0.24988533114243192,-0.05934604612406384,-1.1297327778639403,4.75521958511943,1.9806212199442574,2.2527815566607665,-0.5307711899876176,0.030887559542913126,-0.8836538656819654,-1.5191701638061406,0.1394393912447267,-0.7473962995584569,0.0,0.0,0.0,0.4518788838668707,0.3841793855889788,0.0,0.0,0.0,velocity
8.408143758773804,5.116404703016336,1.950144072368859,2.458435583157882,-0.28705229588690173,-0.02741551129113336,-1.0681267428096233,4.727567876521274,1.9823149543308551,2.2098927935330446,-0.5751557679813576,0.03682806745658139,-0.8316062579898903,-1.6049875182764062,-0.06613689987905669,-0.6992663751258976,0.0,0.0,0.0,0.46260410888735093,0.37824963685713736,0.0,0.0,0.0,velocity
8.456774473190308,5.105571876206746,1.9477898531386568,2.408022534438598,-0.3256758441693042,0.014905779892589562,-1.0225729307587204,4.697719072878164,1.9842997813951633,2.1696477249728834,-0.6186364486072948,0.04251374625985249,-0.7779511702293309,-1.6497415591569715,-0.24070096268357266,-0.446426646395269,0.0,0.0,0.0,0.4738137121613237,0.38265901437716937,0.0,0.0,0.0,velocity
8.508138418197632,5.088980096721945,1.9471629540763462,2.346743199625075,-0.368359003308686,0.055102022791392,-0.9908673357010468,4.665721155313947,1.9865603059125347,2.1321199238883386,-0.6611017024132908,0.04783796005251298,-0.7229613572816262,-1.6716871676077072,-0.26926436181368957,-0.15614124741125657,0.0,0.0,0.0,0.47619684301924037,0.39689377389849617,0.0,0.0,0.0,velocity
8.559787273406982,5.0732316499934855,1.9485255468330067,2.29912250488098,-0.4211854080930113,0.09204283182861711,-0.9510302195302762,4.631627689153991,1.9890757355225854,2.0973692312442282,-0.7024397748631952,0.052691610046758375,-0.6669130902725537,-1.6015656802981657,-0.2979312210142976,-0.12196115542817548,0.0,0.0,0.0,0.4871988910650726,0.40171517350066765,0.0,0.0,0.0,velocity
8.609240531921387,5.055188208356648,1.9511802176378494,2.253691342409799,-0.46324497755839494,0.1043552365263527,-0.8995358409962529,4.595497822331206,1.991819780733671,2.065441618634744,-0.7425392050101276,0.05696407127408476,-0.6100846086495411,-1.7312994226898264,-0.08183658804080665,-0.167225666379333,0.0,0.0,0.0,0.4984022307275757,0.4050101281929356,0.0,0.0,0.0,velocity
8.659486293792725,5.034875495458261,1.954461579432326,2.2112300509409466,-0.5029786583710607,0.10077344331720836,-0.8350028573689808,4.557396257146454,1.9947606033756304,2.0363691301316553,-0.7812893726477864,0.06054419380973236,-0.5527544970799824,-1.8004080554998096,0.08799535005892861,-0.23037402404810436,0.0,0.0,0.0,0.5100850673915863,0.3984211127475354,0.0,0.0,0.0,velocity
8.707164287567139,5.01240532043839,1.957683254920847,2.1717070066253035,-0.5417076778830984,0.08584296861748524,-0.772072991615659,4.5173931939594585,1.997860816726708,2.0101699071670893,-0.8185810739397458,0.06332136851467907,-0.4951999871707373,-1.82737767030782,0.23806750136991486,-0.18568612099777781,0.0,0.0,0.0,0.5222503962039955,0.39220499806286185,0.0,0.0,0.0,velocity
8.757122278213501,4.987834839429959,1.960145092921325,2.1347396865794774,-0.5711882773328886,0.06882957410013968,-0.7295721043926908,4.475564248406938,2.001077533699927,1.9868482902559907,-0.8543071234285509,0.06518665328887942,-0.4376951901302966,-1.9864203019325166,0.28309096858095345,0.14608917636278568,0.0,0.0,0.0,0.5347602156496679,0.40664687994120086,0.0,0.0,0.0,velocity
8.809110879898071,4.961201818772662,1.9614529454018022,2.099980230510389,-0.6203814431192736,0.04078269468105291,-0.6670237962243862,4.431990322722313,2.004362507117984,1.9663950606805352,-0.8883629934352694,0.06603398026196608,-0.38050922848647944,-1.8112193352775507,0.4328366290763011,0.025400035691026335,0.0,0.0,0.0,0.5474952380039434,0.3931187304864689,0.0,0.0,0.0,velocity
8.858303308486938,4.932493560467092,1.961975392613863,2.06768289887335,-0.6590707645936444,0.03372489912441319,-0.6106357333196433,4.3867574749569425,2.0076622627025396,1.948787676783423,-0.9206474399492052,0.06576133987904159,-0.32390441781013013,-1.9096547628256941,0.238658061164437,0.11938144782851956,0.0,0.0,0.0,0.5604027471044859,0.389440031224461,0.0,0.0,0.0,velocity
8.90703558921814,4.901682958212374,1.9621276480816485,2.0383074909385264,-0.6961778096101152,0.03633877051656841,-0.5469378123773356,4.3399567273306525,2.010918358235777,1.9339906984937794,-0.9510631191422128,0.06427193587387767,-0.26813449166709036,-1.9380209868315577,0.1209436107125374,0.08720221955389795,0.0,0.0,0.0,0.5734098752584317,0.3787849975661811,0.0,0.0,0.0,velocity
8.95691704750061,4.86894707081182,1.962481685022394,2.0115707671111323,-0.7307121859565798,0.05074377857404653,-0.4883737009641454,4.291683859984466,2.0140676637153945,1.9219562471165468,-0.9795171479190266,0.06147521700414266,-0.21344300747123324,-1.9828334625207333,-0.04458426127022869,0.2008035531457324,0.0,0.0,0.0,0.5864509271595373,0.3709527720511158,0.0,0.0,0.0,velocity
9.006765127182007,4.834176071216809,1.9637636032616674,1.9874241363928538,-0.7673858650460497,0.07661072255572762,-0.4297147771749999,4.24203917484072,2.0170426973108335,1.9126245509652522,-1.0059216203387906,0.05728780774089971,-0.16006189893714384,-1.9609306957464379,-0.23652532842282897,0.24280555620037358,0.0,0.0,0.0,0.5992159409534663,0.3605348198606891,0.0,0.0,0.0,velocity
9.058556318283081,4.797366224792513,1.9663232628342413,1.9657986735598245,-0.8039346002315833,0.10369275931670188,-0.3722453492520269,4.191127234798277,2.0197720052271935,1.9059245595532066,-1.0301940777893268,0.05163433388643089,-0.10821018129038174,-1.9599506314248596,-0.3304798010516876,0.30282831613830474,0.0,0.0,0.0,0.6115287324244849,0.3515935163843559,0.0,0.0,0.0,velocity
9.107436895370483,4.758521645857283,1.9699149797101467,1.9467353358388966,-0.8403869823042938,0.12227966510478358,-0.31535512722712056,4.139056580575239,2.0221805802232495,1.9017746187052513,-1.0522579329141344,0.04444814312038987,-0.05809280923534176,-1.939061351030006,-0.32517289182649595,0.33249678682968875,0.0,0.0,0.0,0.6232897610157371,0.34224398575464815,0.0,0.0,0.0,velocity
9.158402681350708,4.717671584172726,1.9742014754222104,1.9302130938989157,-0.8768045908184028,0.13276479768238222,-0.25973423771288084,4.0859394275114616,2.0241903135299744,1.9000831989521672,-1.072042847292143,0.03567192047427832,-0.009899687680668493,-1.9176611070177425,-0.30886684840914186,0.37720786015263297,0.0,0.0,0.0,0.6344227393976032,0.33160564830118916,0.0,0.0,0.0,velocity
9.20769476890564,4.674807224157287,1.9785682185253635,1.9162269342752472,-0.9138035042375174,0.1307356487572106,-0.205164197443777,4.031891344643277,2.0257204749160045,1.9007496695698807,-1.089485062870195,0.02525819873425257,0.03619516477772221,-1.8758486131801861,-0.23068632468773986,0.407006274252361,0.0,0.0,0.0,0.6448284338773851,0.3166130828612763,0.0,0.0,0.0,velocity
9.257766962051392,4.629969571100664,1.9822790242918908,1.904738343466675,-0.9506910780893479,0.1156458238308167,-0.15096576850374827,3.977030918362774,2.026688215646448,1.9036651106255722,-1.104527687148275,0.013169763772254438,0.08003429961605837,-1.8347488519969348,-0.12592417856484742,0.4259434546415887,0.0,0.0,0.0,0.6544480211175426,0.29585144353751347,0.0,0.0,0.0,velocity
9.309350490570068,4.571180847322029,1.9852578337958113,1.8937614758081727,-0.9876207041943822,0.09317949983983194,-0.09758976279091536,3.9214794029739806,2.02700908908146,1.9087131553928207,-1.1171209321174767,-0.0006200451945319678,0.12147736938454637,-1.783011438861376,-0.07614810132831679,0.46154239235991146,0.0,0.0,0.0,0.651213242208932,0.2712177576788959,0.0,0.0,0.0,velocity
9.35709524154663,4.534467932818267,1.9858818255041177,1.8889061821036657,-1.0244637175132703,0.06438476098133536,-0.04515559001713094,3.8653603604583653,2.026597583660998,1.9157708554978976,-1.1272223069507104,-0.016127140415892232,0.1604015059516088,-1.7049350090045756,0.0010474373295290829,0.4262494446997092,0.0,0.0,0.0,0.670883318490056,0.24350608549453326,0.0,0.0,0.0,velocity
9.630956411361694,4.483874350148425,1.9853342637043963,1.8843679935955238,-1.0606418881917177,0.03575674493327432,0.005635238222316989,3.58069155522892,2.010554948205778,1.976551539173713,-1.1393893199610976,-0.11922391316234751,0.31417693811945824,-2.0937057619289146,-0.5992597958847588,1.1673034849629245,0.0,0.0,0.0,0.9082252198880479,0.35414424034486675,0.0,0.0,0.0,velocity
